algorithm,solution_id,score
GeneticAlgorithm,solution_0.json,483404
GeneticAlgorithm,solution_2.json,485313
GeneticAlgorithm,solution_3.json,487349
GeneticAlgorithm,solution_4.json,487374
GeneticAlgorithm,solution_5.json,487320
GeneticAlgorithm,solution_6.json,466860
GeneticAlgorithm,solution_7.json,375907
GeneticAlgorithm,solution_8.json,487801
GeneticAlgorithm,solution_9.json,378762
GeneticAlgorithm,solution_10.json,490413
GeneticAlgorithm,solution_11.json,467372
GeneticAlgorithm,solution_12.json,394666
GeneticAlgorithm,solution_13.json,395452
GeneticAlgorithm,solution_16.json,468764
GeneticAlgorithm,solution_18.json,398511
GeneticAlgorithm,solution_21.json,398832
GeneticAlgorithm,solution_23.json,405486
GeneticAlgorithm,solution_25.json,490781
GeneticAlgorithm,solution_26.json,411317
GeneticAlgorithm,solution_27.json,418358
GeneticAlgorithm,solution_32.json,419148
GeneticAlgorithm,solution_35.json,419906
GeneticAlgorithm,solution_38.json,470943
GeneticAlgorithm,solution_41.json,429465
GeneticAlgorithm,solution_43.json,430148
GeneticAlgorithm,solution_45.json,472266
GeneticAlgorithm,solution_46.json,435779
GeneticAlgorithm,solution_47.json,473939
GeneticAlgorithm,solution_48.json,436462
GeneticAlgorithm,solution_49.json,443393
GeneticAlgorithm,solution_52.json,446606
GeneticAlgorithm,solution_53.json,446704
GeneticAlgorithm,solution_59.json,454644
GeneticAlgorithm,solution_61.json,454936
GeneticAlgorithm,solution_62.json,456271
GeneticAlgorithm,solution_63.json,457061
GeneticAlgorithm,solution_65.json,457449
GeneticAlgorithm,solution_66.json,490740
GeneticAlgorithm,solution_67.json,491262
GeneticAlgorithm,solution_69.json,459986
GeneticAlgorithm,solution_73.json,460010
GeneticAlgorithm,solution_77.json,460375
GeneticAlgorithm,solution_78.json,478281
GeneticAlgorithm,solution_79.json,483272
GeneticAlgorithm,solution_82.json,462393
GeneticAlgorithm,solution_83.json,462786
GeneticAlgorithm,solution_84.json,463042
GeneticAlgorithm,solution_93.json,483380
GeneticAlgorithm,solution_14.json,467863
GeneticAlgorithm,solution_15.json,490489
GeneticAlgorithm,solution_28.json,490835
GeneticAlgorithm,solution_76.json,474891
GeneticAlgorithm,solution_94.json,483404
GeneticAlgorithm,solution_55.json,490618
GeneticAlgorithm,solution_89.json,493171
